"state","fullname","region"
"AL","alabama","south"
"AR","arkansas","south"
"AZ","arizona","west"
"CA","california","west"
"CO","colorado","west"
"CT","connecticut","NE"
"DE","delaware","NE"
"FL","florida","south"
"GA","georgia","south"
"IA","iowa","midwest"
"ID","idaho","west"
"IL","illinois","midwest"
"IN","indiana","midwest"
"KS","kansas","midwest"
"KY","kentucky","south"
"LA","louisiana","south"
"MA","massachusetts","NE"
"MD","maryland","NE"
"ME","maine","NE"
"MI","michigan","midwest"
"MN","minnesota","midwest"
"MO","missouri","midwest"
"MS","mississippi","south"
"MT","montana","west"
"NC","north carolina","south"
"ND","north dakota","midwest"
"NE","nebraska","midwest"
"NH","new hampshire","NE"
"NJ","new jersey","NE"
"NM","new mexico","west"
"NV","nevada","west"
"NY","new york","NE"
"OH","ohio","midwest"
"OK","oklahoma","south"
"OR","oregon","west"
"PA","pennsylvania","NE"
"RI","rhode island","NE"
"SC","south carolina","south"
"SD","south dakota","midwest"
"TN","tennessee","south"
"TX","texas","south"
"UT","utah","west"
"VA","virginia","south"
"VT","vermont","NE"
"WA","washington","west"
"WI","wisconsin","midwest"
"WV","west virginia","south"
"WY","wyoming","west"
