NAME,QName,SUMLEV,GEOCOMP,REGION,DIVISION,FIPS,STATE,COUNTY,AREALAND,AREAWATR,totalpop1990,popdensity1990,landarea1990,totalpop2000,popdensity2000,landarea2000,totalpop2010,popdensity2010,landarea2010,merge1,merge2
"Autauga County","Autauga County, Alabama","050","00","3","6",1001,"01","001","1543550050","21959029",34222,57.41823,596.0128,43671,73.27742,595.96804,54571,91.80297,594.43609,"matched (3)","matched (3)"
"Baldwin County","Baldwin County, Alabama","050","00","3","6",1003,"01","003","4134518782","1115203109",98280,61.558171,1596.5387,140415,87.96021,1596.3467,182265,114.6476,1589.7841,"matched (3)","matched (3)"
"Barbour County","Barbour County, Alabama","050","00","3","6",1005,"01","005","2291889572","50799584",25417,28.719854,884.99754,29038,32.81487,884.90358,27457,31.0292,884.8763,"matched (3)","matched (3)"
"Bibb County","Bibb County, Alabama","050","00","3","6",1007,"01","007","1613627425","8124469",16576,26.633953,622.3635,20826,33.42723,623.02505,22915,36.80638,622.58233,"matched (3)","matched (3)"
"Blount County","Blount County, Alabama","050","00","3","6",1009,"01","009","1672057889","12998871",39248,60.786126,645.67365,51024,79.03527,645.58517,57322,88.90221,644.7759,"matched (3)","matched (3)"
"Bullock County","Bullock County, Alabama","050","00","3","6",1011,"01","011","1618775183","2703063",11042,17.665318,625.0666,11714,18.74202,625.01261,10914,17.52395,622.80478,"matched (3)","matched (3)"
"Butler County","Butler County, Alabama","050","00","3","6",1013,"01","013","2012076972","2732130",21892,28.177282,776.93796,21399,27.54525,776.86728,20947,26.96476,776.82863,"matched (3)","matched (3)"
"Calhoun County","Calhoun County, Alabama","050","00","3","6",1015,"01","015","1575907564","9996496",116034,190.68491,608.5117,112249,184.4801,608.46135,118572,195.7061,605.86768,"matched (3)","matched (3)"
"Chambers County","Chambers County, Alabama","050","00","3","6",1017,"01","017","1546657021","15382288",36876,61.726522,597.40933,36583,61.26085,597.16764,34215,57.35658,596.53144,"matched (3)","matched (3)"
"Cherokee County","Cherokee County, Alabama","050","00","3","6",1019,"01","019","1432576264","121290944",19543,35.328848,553.17399,23988,43.36847,553.12081,25989,46.93699,553.69983,"matched (3)","matched (3)"
"Chilton County","Chilton County, Alabama","050","00","3","6",1021,"01","021","1797396705","17552968",32458,46.764839,694.06847,39593,57.05218,693.97879,43643,62.99018,692.85401,"matched (3)","matched (3)"
"Choctaw County","Choctaw County, Alabama","050","00","3","6",1023,"01","023","2365990097","18999051",16018,17.533223,913.57991,15922,17.4294,913.51394,13859,15.17131,913.5003,"matched (3)","matched (3)"
"Clarke County","Clarke County, Alabama","050","00","3","6",1025,"01","025","3207377186","36596298",27240,21.99463,1238.4841,27867,22.50287,1238.3753,25833,20.85888,1238.465,"matched (3)","matched (3)"
"Clay County","Clay County, Alabama","050","00","3","6",1027,"01","027","1567134311","2403035",13252,21.899517,605.12751,14254,23.55745,605.07398,13932,23.06771,603.96121,"matched (3)","matched (3)"
"Cleburne County","Cleburne County, Alabama","050","00","3","6",1029,"01","029","1450940300","2089814",12730,22.723765,560.20646,14123,25.21013,560.2112,14972,26.73093,560.1002,"matched (3)","matched (3)"
"Coffee County","Coffee County, Alabama","050","00","3","6",1031,"01","031","1758576346","3854683",40240,59.247076,679.18963,43615,64.2351,678.99017,49948,73.56418,678.97178,"matched (3)","matched (3)"
"Colbert County","Colbert County, Alabama","050","00","3","6",1033,"01","033","1539831753","75305160",51666,86.89535,594.57727,54984,92.48277,594.53241,54428,91.84309,592.61947,"matched (3)","matched (3)"
"Conecuh County","Conecuh County, Alabama","050","00","3","6",1035,"01","035","2203546316","4436364",14054,16.517108,850.87537,14089,16.55982,850.79405,13228,15.55949,850.15632,"matched (3)","matched (3)"
"Coosa County","Coosa County, Alabama","050","00","3","6",1037,"01","037","1689820597","36039382",11063,16.954952,652.49376,12202,18.70201,652.44339,11539,17.72705,650.92621,"matched (3)","matched (3)"
"Covington County","Covington County, Alabama","050","00","3","6",1039,"01","039","2677571159","26020615",36478,35.253605,1034.731,37631,36.40009,1033.816,37765,36.64881,1030.4564,"matched (3)","matched (3)"
