Date,Set,Set ID,Sample,Rep (ID),Peak (rt),Peak (area),Peak (height),Comments,Peak round (rt) ,Gas Estimate,nmoles/area,nmoles,volume,time (hr),total ARA (nmoles/mL/hr),nmoles/mL
3/18/15,Mat-10hr,M,av,1,1.339,16500968,783145,,1.34,Acetylene,8.83E-05,1456.25,2.43,10,353.87,0
3/18/15,Mat-4 hr,M,av,3,1.363,15995644,509053,,1.36,Acetylene,8.42E-05,1346.11,2.43,4,817.76,0
3/18/15,Mat-10hr,M,av,2,0.815,295365,31005,,0.82,Ethylene,8.83E-05,26.07,2.43,10,6.33,63.34
3/18/15,Mat-4 hr,M,av,4,0.827,135114,10335,,0.83,Ethylene,8.42E-05,11.37,2.43,4,6.91,27.63
3/18/15,Mat-10hr,M,ec,1,1.351,14233369,579525,,1.35,Acetylene,8.83E-05,1256.13,2.43,10,305.24,0
3/18/15,Mat-4 hr,M,ec,2,1.361,15401923,553168,,1.36,Acetylene,8.42E-05,1296.14,2.43,4,787.41,0
3/18/15,Mat-4 hr,M,ec,3,0.826,288,51,,0.83,Ethylene,8.42E-05,0.02,2.43,4,0.01,0.06
3/18/15,Mat-10hr,M,eth,1,0.829,111045,9763,,0.83,Ethylene,8.83E-05,9.8,2.43,10,2.38,23.81
3/18/15,Mat-4 hr,M,eth,2,0.82,100114,10124,delayed start-adj,0.82,Ethylene,8.42E-05,8.43,2.43,4,5.12,20.47
3/18/15,Mat-4 hr,M,eth,3,0.821,132167,11944,,0.82,Ethylene,8.42E-05,11.12,2.43,4,6.76,27.03
3/18/15,Mat-4 hr,M,eth,4,0.822,130766,11802,,0.82,Ethylene,8.42E-05,11,2.43,4,6.69,26.74
3/18/15,Mat-4 hr,M,eth,5,0.823,120610,10435,,0.82,Ethylene,8.42E-05,10.15,2.43,4,6.17,24.66
3/18/15,Mat-4 hr,M,eth,6,0.83,98604,10212,,0.83,Ethylene,8.42E-05,8.3,2.43,4,5.04,20.16
3/18/15,Mat-4 hr,M,v1,2,1.35,14800300,781058,,1.35,Acetylene,8.42E-05,1245.51,2.43,4,756.65,0
3/18/15,Mat-10hr,M,v1,1,0.821,203519,23875,,0.82,Ethylene,8.83E-05,17.96,2.43,10,4.36,43.65
3/18/15,Mat-4 hr,M,v1,3,0.827,45206,5442,,0.83,Ethylene,8.42E-05,3.8,2.43,4,2.31,9.24
3/18/15,Mat-10hr,M,v2,1,1.345,15140742,761178,,1.35,Acetylene,8.83E-05,1336.21,2.43,10,324.7,0
3/18/15,Mat-4 hr,M,v2,2,1.35,15592110,753519,,1.35,Acetylene,8.42E-05,1312.15,2.43,4,797.13,0
3/18/15,Mat-10hr,M,v2,3,0.822,326043,35455,,0.82,Ethylene,8.83E-05,28.77,2.43,10,6.99,69.92
3/18/15,Mat-4 hr,M,v2,4,0.826,115966,12621,,0.83,Ethylene,8.42E-05,9.76,2.43,4,5.93,23.71
3/18/15,Mat-10hr,M,v3,1,1.329,14670955,885436,delayed start,1.33,Acetylene,8.83E-05,1294.75,2.43,10,314.62,0
3/18/15,Mat-4 hr,M,v3,2,1.352,16120806,753530,,1.35,Acetylene,8.42E-05,1356.64,2.43,4,824.16,0
3/18/15,Mat-4 hr,M,v3,3,1.356,13411118,566251,,1.36,Acetylene,8.42E-05,1128.61,2.43,4,685.63,0
3/18/15,Mat-10hr,M,v3,4,0.82,355,88,delayed start-adj,0.82,Ethylene,8.83E-05,0.03,2.43,10,0.01,0.08
3/18/15,Mat-4 hr,M,v3,5,0.82,276,48,,0.82,Ethylene,8.42E-05,0.02,2.43,4,0.01,0.06
3/18/15,Mat-10hr,M,vneg,1,1.341,14331000,894742,,1.34,Acetylene,8.83E-05,1264.75,2.43,10,307.33,0
3/18/15,Mat-4 hr,M,vneg,3,1.353,14486633,720568,,1.35,Acetylene,8.42E-05,1219.12,2.43,4,740.61,0
3/18/15,Mat-10hr,M,vneg,2,0.816,325,70,,0.82,Ethylene,8.83E-05,0.03,2.43,10,0.01,0.07
4/18/15,NewNew-52,NN,a3,1,1.378,10735754,478311,,1.38,Acetylene,0.000517515,5555.91,3,52,320.53,0
4/18/15,NewNew-52,NN,a3,2,0.824,11642,513,,0.82,Ethylene,0.000517515,6.02,3,52,0.35,18.07
4/18/15,NewNew-52,NN,a3,3,1.38,13308782,507866,,1.38,Acetylene,0.000517515,6887.49,3,52,397.36,0
4/18/15,NewNew-52,NN,b4,1,1.361,10726743,630758,,1.36,Acetylene,0.000517515,5551.25,3,52,320.26,0
4/18/15,NewNew-52,NN,b4,2,1.362,10684161,596728,,1.36,Acetylene,0.000517515,5529.21,3,52,318.99,0
4/18/15,NewNew-52,NN,b4,3,1.374,9106897,332630,,1.37,Acetylene,0.000517515,4712.95,3,52,271.9,0
4/18/15,NewNew-52,NN,d1,1,1.362,9386020,573999,,1.36,Acetylene,0.000517515,4857.4,3,52,280.23,0
4/18/15,NewNew-52,NN,d1,2,1.371,8796858,446351,,1.37,Acetylene,0.000517515,4552.5,3,52,262.64,0
4/18/15,NewNew-52,NN,d1,3,0.829,669,104,,0.83,Ethylene,0.000517515,0.35,3,52,0.02,1.04
4/18/15,NewNew-52,NN,eth,1,0.831,20504,2290,,0.83,Ethylene,0.000517515,10.61,3,52,0.61,31.83
4/18/15,NewNew-52 ,NN,eth,2,0.844,10702,1041,,0.84,Ethylene,0.000517515,5.54,3,52,0.32,16.62
4/18/15,NewNew-52 ,NN,eth,3,0.844,25604,1434,,0.84,Ethylene,0.000517515,13.25,3,52,0.76,39.75
4/18/15,NewNew-52,NN,neg,1,1.371,17500472,743054,,1.37,Acetylene,0.000517515,9056.75,3,52,522.5,0
4/18/15,NewNew-52,NN,neg,2,1.406,15369587,387200,,1.41,Acetylene,0.000517515,7953.98,3,52,458.88,0
4/18/15,NewNew-52,NN,neg,3,1.4,,,,,Acetylene,,,,,,0
3/22/15,New Sample-6 hr,NS,a1,2,1.348,15515353,962940,,1.35,Acetylene,0.00014238,2209.07,2.43,6,894.67,0
3/23/15,New Sample-22 hr,NS,a1,1,0.822,236,50,,0.82,Ethylene,8.69E-05,0.02,2.43,22,0,0.05
3/23/15,New Sample-22 hr,NS,a2,1,1.344,16657886,773347,,1.34,Acetylene,8.69E-05,1447.47,2.43,22,159.88,0
3/22/15,New Sample-6 hr,NS,a2,2,1.374,15298692,506344,,1.37,Acetylene,0.00014238,2178.22,2.43,6,882.18,0
3/23/15,New Sample-22 hr,NS,a3,1,1.344,16436536,470992,,1.34,Acetylene,8.69E-05,1428.24,2.43,22,157.76,0
3/22/15,New Sample-6 hr,NS,a3,2,1.356,14049510,656467,,1.36,Acetylene,0.00014238,2000.37,2.43,6,810.15,0
3/23/15,New Sample-22 hr,NS,a3,2,0.828,453,78,,0.83,Ethylene,8.69E-05,0.04,2.43,22,0,0.1
3/22/15,New Sample-6 hr,NS,av,1,1.386,15309044,447129,,1.39,Acetylene,0.00014238,2179.7,2.43,6,882.78,0
